level_id,heuristic,success,nodes,runtime,solution_len
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#30,gnn[speed+dl],True,13,0.03569388389587402,8
sokoban_core/levels/letslogic/solved/0006_microban_01.txt#20,gnn[speed+dl],True,15,0.04001879692077637,5
sokoban_core/levels/letslogic/solved/0006_microban_01.txt#38,gnn[speed+dl],True,135,0.15596294403076172,27
sokoban_core/levels/letslogic/solved/0033_strategy.txt#81,gnn[speed+dl],True,136,0.2671787738800049,17
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#9,gnn[speed+dl],True,432,0.4204092025756836,25
sokoban_core/levels/letslogic/solved/0012_microban_02.txt#58,gnn[speed+dl],True,402,0.5330235958099365,22
sokoban_core/levels/letslogic/solved/0041_loma.txt#44,gnn[speed+dl],True,1407,1.5148935317993164,32
sokoban_core/levels/letslogic/solved/0006_microban_01.txt#15,gnn[speed+dl],True,3256,2.6178841590881348,41
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#403,gnn[speed+dl],True,1960,2.9194796085357666,32
sokoban_core/levels/letslogic/solved/0048_mulholland_d.txt#0,gnn[speed+dl],True,3574,3.3038806915283203,40
sokoban_core/levels/letslogic/solved/0040_tbox_01.txt#21,gnn[speed+dl],True,5438,6.313824653625488,46
sokoban_core/levels/letslogic/solved/0006_microban_01.txt#58,gnn[speed+dl],True,6232,6.406244993209839,50
sokoban_core/levels/letslogic/solved/0047_choriban.txt#53,gnn[speed+dl],True,9207,7.772200584411621,32
sokoban_core/levels/letslogic/solved/0006_microban_01.txt#79,gnn[speed+dl],True,12351,9.527753353118896,38
sokoban_core/levels/letslogic/solved/0033_strategy.txt#61,gnn[speed+dl],True,10633,38.00057768821716,18
sokoban_core/levels/letslogic/solved/0067_puzzle.txt#29,gnn[speed+dl],True,26690,45.30105924606323,42
sokoban_core/levels/letslogic/solved/0086_attrition_02.txt#10,gnn[speed+dl],True,26407,120.40722560882568,22
sokoban_core/levels/letslogic/solved/0108_hand-made.txt#31,gnn[speed+dl],True,96687,102.01762104034424,36
sokoban_core/levels/letslogic/solved/0109_revenge_02.txt#4,gnn[speed+dl],True,874,0.7542366981506348,37
sokoban_core/levels/letslogic/solved/0109_revenge_02.txt#34,gnn[speed+dl],True,20521,27.588939905166626,54
sokoban_core/levels/letslogic/solved/0114_tbox_03.txt#17,gnn[speed+dl],True,15449,11.595638513565063,28
sokoban_core/levels/letslogic/solved/0116_tbox_05.txt#45,gnn[speed+dl],True,150377,108.76520204544067,54
sokoban_core/levels/letslogic/solved/0024_grigr_2002.txt#15,gnn[speed+dl],False,509075,300.0018355846405,-1
sokoban_core/levels/letslogic/solved/0019_sasquatch_07.txt#25,gnn[speed+dl],False,83415,300.00010108947754,-1
sokoban_core/levels/letslogic/solved/0028_serena_01.txt#56,gnn[speed+dl],False,100019,300.00021409988403,-1
sokoban_core/levels/letslogic/solved/0054_12_blocks.txt#24,gnn[speed+dl],False,121601,300.00026988983154,-1
sokoban_core/levels/letslogic/solved/0012_microban_02.txt#109,gnn[speed+dl],False,295301,300.00152134895325,-1
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#163,gnn[speed+dl],False,113766,300.0018813610077,-1
sokoban_core/levels/letslogic/solved/0008_original_extra.txt#6,gnn[speed+dl],False,171227,300.00185990333557,-1
sokoban_core/levels/letslogic/solved/0012_microban_02.txt#93,gnn[speed+dl],False,275299,300.00161957740784,-1
sokoban_core/levels/letslogic/solved/0024_grigr_2002.txt#30,gnn[speed+dl],False,359272,300.0009915828705,-1
sokoban_core/levels/letslogic/solved/0009_boxxle_01.txt#81,gnn[speed+dl],False,143897,300.00123357772827,-1
sokoban_core/levels/letslogic/solved/0057_the_bagatelle_collection_1.txt#10,gnn[speed+dl],False,120121,300.0063030719757,-1
sokoban_core/levels/letslogic/solved/0009_boxxle_01.txt#85,gnn[speed+dl],False,210047,300.00338554382324,-1
sokoban_core/levels/letslogic/solved/0010_boxxle_02.txt#109,gnn[speed+dl],False,383794,300.0000247955322,-1
